( cnn ) two cnn heroes are among the earthquake survivors in kathmandu , nepal .   anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls .   the public has been warned not to use the main water line due to risk of cholera .
rome ( cnn ) the italian navy has boarded and retaken control of a fishing boat that had been seized hours earlier by gunmen off the coast of sicily , the italian military said friday .   the boat , named airone , was intercepted some 90 kilometers ( 56 miles ) from the libyan port of misrata , according to a statement from the italian joint forces .   italy is a major gateway to europe for migrants from north africa .
astrophysics undergraduate torin lakeman , 19 , died alongside his brother jacques , 20 , in a pub in manchester after consuming six times the lethal dose of mdma after ordering the drug via the web .   torin lakeman , 19 ( left ) , and brother jacques , 20 ( right ) , died in a pub in manchester after consuming ecstasy they had bough from an anonymous dealer via the ` dark web '   the brothers were found dead in a room above this pub after going to watch manchester united play a game against hull at old trafford in december last year
miss horton , 28 , is white , while mr curtis , 24 , is half jamaican .   father curtis martin and mother rebecca horton cradle twins kendall ( centre left ) and baylee ( centre right ) who were born with very different skin tones thanks to a rare quirk of genetics   but , in odds of a million to one , baylee has inherited a set of genes for white skin .
the cantilevered platform in chongqing has a 720 degree view from a vantage point that stands nearly 4,000 feet above sea level .   the new ` skywalk ' observation deck has opened to the public in yunyang county , southwest china , and those with vertigo are advised to stay at home .   work on the # 3.7 million structure started in march last year with builders facing a terrifying trip to work each day .
gerrard will miss liverpool 's fa cup quarter-final replay with blackburn because of suspension   liverpool 's players must focus on getting themselves and the club into the semi-finals of the fa cup rather than steven gerrard , according to reds legend robbie fowler .   liverpool forward raheem sterling has rejected a new # 100,000-a-week deal to stay at anfield
( cnn ) recently , a new york judge issued an opinion authorizing service of divorce papers on a husband completely via facebook .   what exactly is " service of process " ?   one form of alternate service is " nail and mail " service .
now doctors at university college london hospitals nhs foundation trust ( uclh ) are able to start vital treatment much sooner using a single procedure .   when tumours in the lungs are suspected , patients can face a raft of tests and even surgery to find out if they have the disease , often resulting in an agonising wait before they start lifesaving treatment .   a telescopic tube that scans the lungs for cancer is being used by nhs doctors , cutting diagnosis time from days to just 30 minutes .
england manager roy hodgson pictured at the juventus stadium during tuesday 's friendly against italy   sportsmail 's top team of reporters have submitted their starting line-ups for the finals in france , assuming everyone is fit of course .   hart ; clyne , cahill , jagielka , baines ; henderson , wilshere ; welbeck , rooney , sterling ; kane
a new episode of mockumentary w1a , to be broadcast later this month , shows bosses holding an emergency meeting after clarkson uses the word ` tosser ' on top gear .   the episode was apparently filmed last july , but the narration has recently been tweaked .   the bbc has made light of disgraced presenter jeremy clarkson 's attack on a junior producer by poking fun at the incident in a comedy programme .
kansas is one signature away from telling poor families that it 's illegal to use their welfare payments to buy alcohol , tobacco and pornography , to visit strip clubs or tattoo shops , and to take vacation cruises or gamble on dog or horse races .   no benefits : a pending kansas law would make it illegal for welfare recipients to spend their government-supplied stipends at strip clubs , among a laundry list of other places   partisan : kansas republican gov. sam brownback ( center ) is likely to sign the new measure despite strong opposition from democrats
youtube user elman511 cracked open the over-sized egg that was laid by one of his hens , exclaiming : ` the big egg has another normal egg in it ! '   the unusual occurrence is down to a counter-peristalsis contraction   while the instance is extremely rare , it 's caused when the hen is in the process of forming an egg in her oviduct and another oocyte -- the ovum or egg cell that becomes the yolk of the egg -- is released too soon .
( the hollywood reporter ) richard dysart , the emmy-winning actor who portrayed the cranky senior partner leland mckenzie in the slick , long-running nbc drama " l.a. law , " has died .   dysart , who also played coach in the original 1972 broadway production of jason miller 's pulitzer prize-winning " that championship season , " died sunday at home in santa monica after a long illness , his wife , artist kathryn jacobi , told the hollywood reporter .   the acclaimed " l.a. law " -- created by steven bochco ( who eventually handed off the series to david e. kelley ) and terry louise fisher -- aired for eight seasons from 1986 to 1994 .
the tateyama kurobe alpine route opened for visitors today , with tourists marvelling at the 65ft high walls   however this steep-walled phenomena is located in japan and attracts visits from thousands of tourists annually - with the number predicted to rise this year .   the tateyama kurobe alpine route opened to the public on today and allows tourists to view the spectacular snow-walled passageway along the 1000ft section .
tragedy : louise shepherd , 31 , from cobham , surrey , was hiking through a national park in north-west bolivia with her sister and a friend when a tree toppled onto her during a storm   louise shepherd had been hiking through the remote madidi national park in the north-western part of the country when a tree toppled onto her during a storm .   ms shepherd , from cobham , surrey , had taken a ` gap year ' off work in order to go travelling around the world with her sister hannah and college friend rose jones , both 30 .
estate agents in london are now said to be offering a higher ` cameron price ' and lower ` miliband price ' for the same property .   the annual levy will hit his own home in north london ( right )   wealthy buyers are demanding a lower ` ed miliband ' price to compensate for any future mansion tax bills introduced by the labour leader if he becomes prime minister .
mitchell keenan , 32 , was diagnosed with frostbite six weeks ago after his sister discovered his blackened toes and rushed him to hospital .   mitchell keenan , with his father keith , who had to have his toes amputated after contracting frostbite while being forced to live in a tent   they were so badly diseased that they could not be saved and they had to be amputated .
john carver says his newcastle players have a point to prove when they face liverpool on monday   john carver says his newcastle players have a point to prove to themselves at liverpool on monday night .   newcastle in training earlier this week for their game against liverpool on monday in the premier league
mick mccarthy 's ipswich were denied three points as rivals wolves fought back to draw 1-1 on saturday   ipswich boss mick mccarthy hailed the ` belligerent , stubborn and hard working ' qualities of his ` horrible bunch ' of players after a determined 1-1 draw at his former club wolves moved town closer to securing a place in the skybet championship play-offs .   despite wolves bouncing back to take a point through benik afobe 's 31st goal of the season in the 50th minute after a richard stearman own goal had given ipswich a first-half lead , town 's play-off hopes are now in their own hands with two games remaining .
police in rhein erft , germany initially dismissed reports that a kangaroo was found hopping in a field nearby   they discovered that the call was in fact serious and later found the australian marsupial in a field in bruhl   they immediately assumed it was a april fools prank and dismissed the strange call .
khalid saeed batarfi was a senior leader with al-qaeda in the arabian peninsula ( aqap ) before he was jailed by yemeni officials .   two days ago he was freed , along with 300 other inmates , as the terrorist group stormed the prison he was being held in , killing two guards .   khalid saeed batarfi poses for photographs inside the governor 's palace in mukalla , yemen , days after he was released from prison by terrorists
the book was completed in november by david lagercrantz based on a plot outline left by larsson before he died of a heart attack in 2004 aged 50 .   the girl in the spider 's web , published worldwide on august 27 , will be the fourth installment in the best-selling millennium crime trilogy by swedish author stieg larsson .   under wraps : the sequel to the girl with the dragon tattoo series by steig larsson ( left ) entitled the girl in the spider 's web ( right ) has been shrouded in such secrecy it is being written on computers with no internet
sunderland midfielder lee cattermole will return to the starting line-up for sunday 's derby clash with newcastle .   massadio haidara has undergone knee surgery which will see him miss the rest of the season   head coach dick advocaat has confirmed that cattermole will be back against the magpies after serving a two-match ban for reaching 10 bookings for the season .
sofia , the middle child of chelsea fc owner abramovich 's five offspring with second wife irina , revealed she had been bullied by users of the site about her appearance and weight .   sofia abramovich - the daughter of chelsea owner roman - has hit back at people who have criticised her on instagram saying she is going to turn their negativity into positivity   but now sofia has hit back , saying that she is going to turn the negative comments into a positive for her life .
the sewol sank on april 16 , killing 304 people , mostly high school students who were on their way to a field trip to jeju island , off south korea 's southern coast .   a year later , park 's life remains at a standstill .   the divers stopped searching months ago because of the winter and water conditions , and the south korean ferry remains on the bottom of the sea floor .
the emergency move came after premature reports that the flames had been put out .   defence sources said the submarine 's weapons and critical elements of its nuclear reactor had been removed before the fire broke out .   the 500ft-long oryol was in dock at zvezdochka shipyard in severodvinsk , 620 miles north of moscow , on the white sea .
javier hernandez wheels away after scoring against atletico madrid in the champions league quarter-final   javier hernandez scored the goal of his life on wednesday night but real madrid are unlikely to take up their option to buy the player .   the mexico striker 's late goal was enough to send real madrid through to the semi-finals
in 2008 , naomi jacobs - then aged 32 - woke up terrified of her son , in totally unrecognisable surroundings and thought she was 15 years old .   naomi jacobs was 32 when she woke up one morning having lost her memory of the past 17 years of her life   overnight , she had been struck with transient global amnesia , a form of memory loss brought on by stress that had wiped the ` episodic ' part of her memory .
michael hanline , 69 , was convicted of murder for the fatal shooting of truck driver j.t. mcgarr in 1980 .   michael hanline , 69 , pictured with wife sandy , has been released from jail after spending 36 years behind bars for a murder he did not commit   but more than three decades after he was incarcerated , it emerged that crucial dna analysis and investigative reports were withheld from his original trial .
at least , that 's where the whistleblower is according to google maps .   a business called edward 's snow den has appeared in the us president 's headquarters   a business called edward 's snow den has appeared in the us president 's headquarters thanks to the clever work of security consultant bryan seely .
and south korean investigators say they have proof -- the actual malicious codes used in the attacks .   seoul , south korea ( cnn ) on march 20 , 2013 , a cyberattack brought chaos to several banks and media outlets in south korea .   then more ominously on december 23 last year , computers at the country 's nuclear operator were breached .
the video - filmed by a passer-by in shanghai - shows the young woman dangling off the ledge having apparently threatened to jump , reports people 's daily online .   video footage captured the moment fireman xu weiguo grabbed the suicidal woman 's arm just in time   he had clambered out on to the ledge when police failed to talk her down
jurgen klopp has told borussia dortmund he wants to leave the club this summer   jurgen klopp has told borussia dortmund he wants to quit at the end of the season , according to reports in germany .   the club have called a press conference for wednesday at 12.30 pm .
a three-judge panel of the court will conduct a hearing on his appeal of his public corruption convictions on may 12 .   mcdonnell was sentenced to two years in federal prison for public corruption   the onetime rising republican star made the argument in a 54-page brief in the 4th u.s. circuit court of appeals .
the unidentified man and woman were in their 50s and from cleveland , police sgt. ricardo cruz told the associated press .   cruz said blood was found in the cabin aboard the ms ryndam , but it was unclear how the couple died .   an ohio couple have been found dead in an apparent murder-suicide in their stateroom aboard a holland america cruise ship docked in puerto rico .
quick-thinking : brady olson , a teacher at north thurston high , took down a gunman on monday   no one was injured after the boy shot twice toward the ceiling in the school commons before classes began at north thurston high school in lacey , about 60 miles southwest of seattle , authorities said .   brady olson , who teaches advanced placement government and civics at the school , knocked the armed student to the ground and kept him pinned down until authorities arrived , witnesses said .
tinder will now display the last 34 pictures of a person 's instagram feed - and allow users to see more .   tinder has overhauled its profile as part of the instagram integration - and now shows friends of friends as well as more interests   the firm 's latest update automatically shows the latest pictures posted to facebook 's site .
brady was jailed for life in 1966 after torturing and killing five children with his then-girlfriend myra hindley .   the 77-year-old wrote the letters from his bed at ashworth psychiatric hospital in merseyside .   instead he complained he is ` bedridden and worsening ' after breaking his hip and arm in fall a year ago .
they are some of the earliest holiday snaps of the chinese capital -- taken between 1900 and 1911 during the qing dynasty -- and they show landmarks almost devoid of visitors .   the quiet scenes are a far cry from modern-day beijing , which is one of the most populous cities in the world and visited by tens of millions of domestic and international tourists every year .   photos taken between 1900 and 1911 during the qing dynasty show beijing 's famous landmarks with barely any visitors
a man deliberately drove his dark blue ford falcon ute into the doors of the harts range police station   the 42-year-old man allegedly threw a wheel spanner at a night security patrol car before recklessly driving his dark blue ford falcon ute at full speed towards the harts range police station just before 10pm on sunday .   territory duty superintendent brendan muldoon said police are looking for a 42-year-old male who was agitated and driving in a reckless manner .
for the first time in the annals of boxing -- as floyd mayweather and manny pacquiao step on the scales next friday -- fans will be charged for admission to a weigh-in .   thousands of fans watched ricky hatton and mayweather weigh-in at the mgm grand garden arena   floyd mayweather with girlfriend doralie medina ( left ) and manny pacquiao with his wife jinkee ( right )
secret service agents parked hillary clinton 's campaign van in a handicapped spot on thursday while she was in a top-secret meeting with democratic party officials   hillary clinton 's now-famous scooby doo van made an appearance in council bluffs , iowa on thursday for a closed-door meeting with state democratic party officials -- and it idled in a handicapped parking space from beginning to end .   footage broadcast by ketv-7 in the nearby city of omaha , nebraska , showed the presidential nominee emerging from a cafe , greeting onlookers and walking past the blue handicapped-parking sign to climb into the vehicle .
defense denied : a judge ruled wednesday that attorneys for brett robinson , 33 , waited too long to file an insanity defense , ruling evidence that she was suffering from mental illness when she engaged in sex acts with a prison inmate last year as insufficient   brett robinson will now stand trial next week on 12 charges related to sexual misconduct and official misconduct , on allegations that she let the inmate out of his cell multiple times and engaging in sex acts between march and july last year .   a 33-year-old woman on trial for having sex with a male inmate at washington county jail six times over four months while working as a services technician cried in court wednesday as a judge rejected her request to use an insanity defense .
charity sea shepherd had been tracking the thunder for the past 110 days off the west coast of africa   rogue fishermen are believed to have scuttled this ship , thunder from lagos to cover up illegal fishing   environmental activists rescued 40 crew from a sinking ship it suspected of conducting illegal fishing near the island of sao tope , off the gabon coast .
invitations to the service at st paul 's cathedral advise that it will avoid glorifying the duke of wellington 's historic victory over napoleon in 1815 .   but last night the move was criticised by politicians , who said it ` took political correctness to an absurd new degree ' .   defeated : napoleon ( illustrated ) lost at the battle of waterloo in 1815
the image , which is believed to come from a firebrand american religious group called ` the disciples of the new dawn ' in the u.s , has been circulating on mother 's groups in australia .   professor of gynecology hans peter dietz said the image represents an attitude which is widespread in australia   doctors have condemned a social media campaign which accuses mothers who have a caesarean as being ` too lazy to have a baby ' .
a further 11 dentists were paid between # 400,000 and # 500,000 and a total of 177 received more than # 200,000 .   the sum is almost five times the prime minister 's # 142,500 pay packet -- and comes as thousands of patients struggle to get on the books of nhs practices .   more than 1,600 pocketed # 100,000 - # 200,000 .
jackson byrnes was diagnosed with a stage four brain tumour three weeks ago   jackson byrnes ( pictured ) is less than a day away from accumulating enough money to pay for life-saving brain surgery   with less than a day left to go before he is due to be operated on , 18-year-old jackson byrnes from northern new south wales has accumulated close to the target on hisgofundme page .
chris ramsey praised tony pulis ahead of his sides crucial clash with west brom in the premier league   ramsey claims pulis ` is one of the best coaches in britain , ' but says that he wo n't be asking for his advice   ramsey 's qpr , who face pulis 's west brom at the hawthorns on saturday , are 19th in the barclay 's premier league table -- four points adrift of sunderland in 17th .
liverpool manager brendan rodgers has backed himself to improve the club next season   steven gerrard ( left ) trains alongside jordan henderson , who signed a new liverpool contract on thursday   adam lallana ( left ) was back in training for liverpool as they prepare to take on west brom
hakaoro hakaoro was sentenced to 20 months in jail in january 2014 for working without a licence .   former immigration minister hakaoro hakaoro , who was jailed in january 2014 for working without a license , has been found guilty of another string of complaints   this week the 55-year-old has been found guilty of six new complaints by the immigration advisors disciplinary tribunal .
with 47 % compared to only 40 % of men   the survey , from specialist travel agency , planet cruise , was conducted on people age over 55 and exposed widespread career disappointments among both men and women   just under half ( 47 per cent ) of women aged over 55 expressed disappointment over their decisions , compared to just 40 per cent of men .
### NO MATCH FOUND ###
the fireball was captured on camera on sunday by the united kingdom meteor observing network ( ukmon ) in portadown , county armagh .   footage shows it glowing brightly as it races northwards towards the irish sea .   ukmon said that pieces from the meteorite , which came from an asteroid in orbit between mars and jupiter , would have crashed to earth and could potentially be worth thousands of pounds .
86-year-old daphne selfe has starred in the campaign for vans and & other stories alongside flo dunn , 22   looking radiant , daphne selfe , 86 , shows off the collaboration between the footwear super-brand and the ethereal high street store with uncompromising grace .   daphne looks cool and relaxed as she models the & other stories collection alongside the customised shoes
in a television interview the fugitive squirmed as he admitted only ` evaluating ' the files stolen from gchq and the us national security agency .   the former us spy also acknowledged there had been a ` f *** - up ' when newspapers that were handed the classified material failed to redact sensitive details exposing operations against al qaeda .   last week tonight host john oliver flew to moscow to grill edward snowden about the leaking of ` harmful ' documents and asks him to explain why he did it
kathmandu , nepal ( cnn ) we came on a commercial flight to kathmandu .   there 's some damage to houses and buildings , but it 's not as visual as the haiti earthquake ( of 2010 ) .   driving through the city , there 's not a huge amount of visible damage .
nicola sturgeon ( left in 2001 ; right in 2015 ) is most definitely the most dangerous woman in britain .   not because she might well cosy up to ed miliband and keep david cameron out of office , but because she is living proof that women become sexier with age , income and office .   nicola sturgeon is most definitely the most dangerous woman in britain .
raheem sterling has turned down a new deal with liverpool and put off contract talks until the summer   the 20-year-old scored for england in their 4-0 win over lithuania at wembley last friday night   sterling 's current # 35,000-a-week deal at liverpool has two years to run at the end of this season
england are awarded a penalty during their european u19 women 's championships qualifier in belfast   uefa has opened a real can of worms by ordering the final 18 seconds of the european women 's under 19 championship qualifier between england and norway to be replayed following a refereeing error .   referee marija kurtes points to the spot as england are awarded a penalty in the 96th minute
the 18-year-old reportedly fled to the toilet in tears and afterwards told police that the # 55,000-a-week tottenham winger had left her with a bruise below her eye .   the 28-year-old , who is on loan to everton , was reportedly interviewed by officers under caution over the alleged assault earlier this month .   a young waitress has claimed that england footballer aaron lennon grabbed her , slapped her and ripped her top as he partied in the vip suite of a nightclub .
a new york city skin clinic 's popular new laser treatment promises to tighten skin and improve complexion - if clients are brave enough to sign a waiver releasing their personal information to a funeral director and a coroner first .   manhattan-based skin laundry says that after just ten minutes , their light and laser procedure will leave your skin ` glowing ' , while also promising that long-term use will reduce wrinkles , clear acne , and minimize scarring .   risky regimen : to get skin laundry 's popular laser facial , clients must sign a waiver that releases their personal information to a funeral director and a coroner
rangers kept the pressure on hibernian in the race for second spot in the championship with a comfortable 4-0 win over raith rovers .   nicky clark celebrates after putting rangers 1-0 up against raith rovers on sunday   hibs had secured a win over hearts in the edinburgh derby in the earlier kick-off and the light blues knew they had to respond .
floyd mayweather ( left ) vs manny pacquiao in the official advert for their mega-fight on may 2   pay-per-view watchers in america will have to pay up to $ 100 ( # 67.48 ) to watch the fight   andre ward is set to make his overdue ring comeback in his hometown on june 20
angela spent many years wearing high heel shoes   but a worrying new study by researchers in the u.s. suggests high heels can also put dangerous pressure on knee joints , wearing away cartilage - the body 's built-in shock absorber - and increasing the risk of osteoarthritis .   some women need invasive knee replacement surgery .
blunder : charity runners taking part in yesterday 's bournemouth bay 10k run ( pictured ) were left exhausted after being sent on an unscheduled two-mile detour   the blunder was believed to have been caused by a race marshal taking a toilet break during the event , missing 300 runners who should have been directed at a junction point .   instead they continued past the unmanned marshall point and had to run for an extra three kilometres while the other 900 competitors followed the correct route .
toronto 's cn tower is one of canada 's most recognisable tourist attractions and has been thrilling visitors for nearly 30 years .   at 1,815 ft it is the third tallest tower in the world and was once classified as one of the seven wonders of the modern world by the american society of civil engineers .   brave souls can walk on a glass floor or hang over the edge of the cn tower in toronto while tethered to an overhead rail system
luis suarez torments a less-than-fit david luiz on a night to forget at parc des princes for the brazilian   suarez celebrates as he scores a double in barcelona 's 3-1 win over psg on wednesday night   it proved too much too soon for paris saint-germain 's david luiz as the brazilian was prematurely brought back from injury to replace countryman and captain thiago silva in the first half against barcelona .
queens park rangers boss chris ramsey believes his side will stay in the premier league with three wins   chris ramsey believes three wins from the last five games will be enough to secure queens park rangers ' top flight status .   rangers are in the drop zone of the barclays premier league with 28 points as they prepare for a london derby at home to west ham .
the craft was supposed to be capturing footage of the royal burgers zoo chimp enclosure for a tv show .   an arnhem tv station has lost one of its expensive drones after a chimpanzee managed to knock it out of the sky .   following the attack , the drone crashes to the ground - only for the chimp to pounce on it
for the first time , zella jackson price , 76 , and melanie diane gilmore , 49 , met in-person at price 's olivette home .   melanie diane gilmore , 49 , has been reunited with her mother after 49 years .   zella jackson price ( pictured ) , 76 , was told shortly after delivering her baby that the infant had died .
state health alert : new york governor andrew cuomo said friday that ` spice ' , also known as ` k2 ' or ` mojo ' , is sweeping the city , with 160 people admitted to hospital in the nine days from april 8 , 120 of them in one week   now new york governor andrew cuomo has issued a state health alert that the synthetic marijuana product known as ` spice ' is sweeping the city , and that 160 people have been hospitalized in nine days after using the drug .   the cannabinoid , also commonly called ` k2 ' or ` mojo ' , is predominantly abused by teenagers and typically sold over-the-counter as incense or potpourri .
the aid agency has been negotiating for a week to deliver life-saving supplies and equipment to yemen , where the coalition has conducted 11 days of air strikes against iran-backed shi'ite houthis .   the un last week said that more than 500 people had been killed in two weeks of fighting in yemen .   air strikes : it is thought about 500 people have been killed in two weeks of fighting in yemen - but so far , the international red cross has not been able to gain entry to the middle eastern country
### NO MATCH FOUND ###
he is accused of shooting 44-year-old ron lane at wayne community college on monday morning before fleeing more than 500 miles south .   the outburst unfolded as kenneth morgan stancil iii , 20 , made his first appearance at the wayne county courthouse in goldsboro , north carolina after being extradited from florida .   a self-confessed neo-nazi who allegedly shot dead his gay supervisor was forcibly removed from court on thursday after swearing at the judge and flipping over a table .
bennett , who is unemployed , was arrested and charged with child abuse , assault and battery offenses , pasco county sheriff 's officials said .   two bystanders recorded the fight on their cell phones as tabitha anne bennett allegedly shouted at her daughter to take swings at the older girl in new port richey , florida .   arrest : tabitha bennett allegedly drove her daughter to fight another girl and then encouraged the fight
manny pacquiao took to instagram to thank spike lee and tito mikey ahead of his bout vs floyd mayweather   pacquiao 's trainer , freddie roach , believes his man is ready to beat mayweather in las vegas on may 2   the 36-year-old is gearing up for his $ 300million welterweight showdown with floyd mayweather on may 2 - in what is set to become the richest bout in boxing history .
luis suarez says he nutmegged paris saint-germain defender david luiz twice because it was his quickest way to goal .   suarez scored twice as barca put themselves in control of the tie with a 3-1 first leg win   luis suarez puts the ball through david luiz 's legs before scoring his second goal for barcelona '
` revenge ' : alfred guy vuozzo , 46 , has been sentenced to life in prison after shooting dead brent mcguigan , 68 , and his son , brendon ( both pictured ) , 39 , because they were related to a driver who killed his nine-year-old sister in a crash 45 years ago .   alfred guy vuozzo swore loudly as he was told he would not be eligible for parole for 35 years for murdering brent mcguigan , 68 , and his son , brendon , 39 , on prince edward island last august .   a 46-year-old man was sentenced to life in prison on monday after shooting dead a father and son because they were related to a driver who killed his nine-year-old sister in a crash 45 years ago .
ghost ships : a number of the remaining ships in the united states ' national defense reserve fleet lay moored in james river , virginia   helping hand : the united states ' national defense reserve fleet was set up after the second world war in 1945 , in order to provide back-up in case of war or national emergencies   the ndrf was set up in the wake of the second world war , and at its peak in the 1950s , the fleet consisted of nearly 2,280 ships moored across the united states .
ukip 's manifesto chief later added to the confusion by saying the 50,000 limit ` might change every year ' .   the conservatives accused mr farage of ` making up his policies as he goes along ' -- but mr farage has denied his party has made any u-turns on immigration .   but at the same time he claimed that overall caps on net migration -- as pledged by the tories -- would be ` ludicrous ' because it was impossible to stop people leaving the country .
his body was found by sniffer dogs last week in the picturesque hamlet of pierres , south-west of caen , and an unnamed 28-year-old frenchman has been charged with his murder .   expat : detectives are investigating the killing of david king ( pictured ) , a 70-year-old pensioner from newham , east london , who retired to normandy   the macabre theory has been outlined by detectives investigating the killing of david king , a 70-year-old pensioner from newham , east london , who retired to normandy 15 years ago .
the 1954 bentley r-type continental fastback was estimated to sell for around # 200,000 by auctioneers but ended up being sold for # 739,212 - a record for the auction house .   originally commissioned by welsh racing driver r d weatherall and painted in his racing colour of purple - the license plate still bears his initials .   the 1954 bentley r-type continental fastback ( pictured ) sold for almost four times its estimated value
the plane , carrying 59 passengers and eight crew members , tilted to one side and its left engine scraped along the runway in khajuraho .   passengers were forced to exit the boeing 737-800 via its inflatable evacuation slides   the crew ordered an evacuation after the boeing 737-800 came to a stop , and passengers slid down the plane 's inflatable slides to safety .
stephanie scott , 26 , was due marry her partner of five years , aaron leeson-woolley , in front of 120 guests in a small town in new south wales this saturday .   friends and family of murdered stephanie scott were flying in from around the world to be at her big day , but now face the devastating task of planning her funeral after a man was charged with her murder   but the english and drama teacher vanished on sunday while excitedly making final preparations for the wedding .
mrs miliband , 44 , has revealed that she first met the labour leader at a dinner party hosted by a mutual friend and thought he was ` good looking ' and ` unattached ' .   justine miliband fell in love with her husband ed after she was attacked by a doberman while canvassing on his behalf - even though she had been ` furious ' with him after a bungled first date .   justine miliband , right , said she fell in love with her husband ed , left , after she got bitten by a dog
arsenal manager arsene wenger has said he hopes burnley escape relegation from the premier league   arsenal manager arsene wenger has said he hopes burnley escape relegation after seeing his side have to fight to gain a narrow 1-0 victory at turf moor .   burnley manager sean dyche shakes hands with wenger following arsenal 1-0 victory at turf moor
these men form a small part of jaysh al-islam - or army of islam - who reportedly command as many as 25,000 loyal fighters following the merger of up to 60 rebel factions inside syria .   a militant group which opposes both isis and the syrian regime has released a striking video showing off 1,700 troops , fleet of armoured tanks and special forces soldiers in an impressive military parade .   the group operates in the embattled syrian city of damascus and their ongoing battle against president bashar al-assad is reportedly funded by the wealthy nation of saudi arabia .
the world 's largest cattle station is for sale in anna creek south australia and it 's bigger than israel   the eleven cattle farms cover over 100,000 square kilometres and are being sold by the family business s. kidman and co. .   according to the abc , the largest of the stations is anna creek station in south australia which covers an enormous 23,000 square kilometres .
klopp will officially cease to be dortmund manager on june 30   jurgen klopp confirmed in a press conference he is to leave borussia dortmund this summer   klopp and dortmund chief executive hans-joachim watzke confirmed in a press conference reports that he will officially leave at the end of june after seven successful years at the club .
now the green party has set it to music , with a new election advert featuring david cameron , nick clegg , ed miliband and nigel farage forming a bizarre pro-austerity boyband .   the video , complete with dry ice , glittering podiums and the obligatory key change , is designed to show that despite their claims to the contrary , the tories , lib dems , labour and ukip are all singing the same tune on cuts , public services and immigration .   the video begins with ` david cameron ' playing a white grand piano , with ` ed miliband ' looking on
now , fossils from an extinct pygmy sperm whale that died seven million years ago , have shed new light on the evolution of modern day whales .   the remains , which were discovered in panama , indicate that the organ involved in sound generation and echolocation got smaller throughout the whale 's evolution .   since herman melville penned his novel moby dick more than 150 years ago , scientists have been fascinated by the remarkable attributes of the sperm whale and its kin - the smaller pygmy and dwarf whales .
teachers want children to have more play time to encourage greater communication and social skills   they want the uk to follow the lead of countries such as finland which has 15 minute play time after lessons   many children are not ready to sit down and do reading , writing and maths when they start school at the age of four or five , according to the national union of teachers ( nut ) .
kim callaghan , 39 , piled on the pounds after the birth of her two children , reaching a worrying 20st 3lb .   however , the determined slimmer has now shrunk down to a slender 9st 10lb after taking up exercise and swapping starchy meals for smaller portions .   before her weight loss kim was limited to a wardrobe of size 28 clothing she is now a slinky size 10
a researcher says a ` bone flute ' found in slovenia is not an instrument - instead , he says it is simply a bone chewed by a hyena with teeth marks .   the bone is shown here , believed to be the oldest musical instrument discovered in europe , on show in ljubljana .   the bone was discovered on 18 july 1995 in slovenia
froch was due to fight julio cesar chavez jr. ( right ) in las vegas but was forced to withdraw with injury   wba super-middleweight champion carl froch took part in a poker tournament in lenton   carl froch will be a keen observer when julio cesar chavez jnr returns to the ring after a year-long absence .
england are awarded a penalty during their european u19 women 's championships qualifier in belfast   uefa have set a potentially dangerous precedent by ruling that the final 18 seconds of england women 's u19 european championships qualifier against norway will be replayed after a refereeing mistake .   the elite round group 4 qualifier will be restarted at 9:45 pm at seaview stadium in belfast on thursday with the match resuming with england retaking a penalty in the 96th minute at 2-1 down .
real madrid defender raphael varane captured the team 's entrance to the santiago bernabeu on wednesday   javier hernandez scored the winning goal for madrid in the 88th minute against atletico to win the tie   fans greeted the team coach as real arrived for their champions league second leg with atletico madrid
