cnn hero of the year has been warned not to use main water line to risk of cholera .   koirala 's group is home to 115 girls of sex trafficking .   all of the children have been sleeping .
environmental activists rescued 40 crew from a sinking ship it suspected of conducting illegal fishing near the island of sao tope , off the gabon coast .   the nigerian-flagged thunder was being tracked by activists from the charity sea shepherd , who believed it was engaged in illegal fishing .   the thunder had been tracking the thunder for the past 110 days off the west coast of africa .
invitations to the service at st paul 's cathedral will avoid glorifying the duke of wellington 's victory over napoleon in 1815 .   but last night the move was criticised by politicians , who said it ` took political correctness to an absurd new degree '   conservative jacob rees-mogg will focus on the ` pan-european ' implications of the battle and the century of peace .   the service of commemoration will take place on the 200th anniversary of waterloo .
the image , believed to come from a religious group called ` the disciples of the new dawn ' in the u.s , has been circulating on mother 's groups in australia .   university of sydney 's professor says a drive to reduce the rates of c-sections is forcing obstetricians to ` act against their own better professional judgment '   the number of caesarean surgeries is to drop to 10 to 15 per cent of births .   last year the world health experts said number of surgeries needed to drop .
five highest-earning nhs dentists paid average salaries of # 690,000 a year .   thousands of patients struggle to get on books of nhs practices .   further 11 dentists paid between # 400,000 and a total of 177 received more than # 200,000 .
jackson byrnes is under $ 4,000 away from raising enough money to save his life .   three weeks ago mr byrnes was told by doctors he had a stage four brain tumour that was too deep and aggressive to be safely operated on .   jackson byrnes was diagnosed with a brain tumour three years ago .
tony pulis face pulis 's west brom at the hawthorns on saturday .   the r 's have taken just four points since the turn of the year .   ramsey says pulis is one of the best british coaches in britain .
steven gerrard signed a new liverpool contract on thursday .   liverpool manager brendan rodgers has backed himself to improve the club next season .   henderson is expected to make his first appearance since signing a new five-year deal at the club .
hakaoro hakaoro was sentenced to 20 months in jail for working without a licence .   allegations include inviting women into his house to enter a sexual relationship with him .   hakaoro took $ 3,000 from two siblings who wanted help with their immigration status .
new survey reveals women regret their career choices more than men .   under half 47 per cent surveyed admitted that they have suffered from mental illness or negative feelings towards their roles .   one in five over-55s surveyed admitted to feelings of depression due to missed opportunity at work .
### NO MATCH FOUND ###
the fireball was captured on camera on sunday by the united kingdom meteor observing network -lrb- ukmon -rrb- in portadown , county armagh .   footage shows it glowing brightly as it races northwards towards the irish sea .   pieces from the meteorite would have crashed to earth and could potentially be worth thousands of pounds .
daphne selfe , 86 , has starred in the campaign for vans and & other stories including flo dunn , 22 .   the shoes are worn with pieces from the brands ss2015 collection .   daphne said of the collection , she is the ` world 's oldest supermodel ' collection .
last week host john oliver flew to moscow to grill edward snowden about the leaking of ` harmful ' documents and asks him to explain why he did it .   but in an outburst of arrogance , snowden said such potentially catastrophic blunders were a ` fundamental ' price of liberty .   the former us spy also acknowledged there had been a ` f *** - up ' when newspapers that were handed the classified material failed to redact sensitive details .
military and aid flights are indian military planes in nepal .   some buildings are not up to high construction sites .   nepal 's landmarks are not , but there 's no way to get out .
nicola sturgeon is the most dangerous woman in britain .   women become sexier with age , income and office .   in 2001 she dressed her feet into kurt geiger heels .
raheem sterling has been used at wing back by liverpool .   the 20-year-old impressed as part of england 's front three .   sterling is now in position to reject contract offers of # 100,000 per week .
england are awarded a penalty during their european u19 women 's championships qualifier in belfast .   the final 18 seconds of the european women 's under 19 qualifier between england and norway to be replayed .   fifa did similar during a 2006 world cup qualifier .
aaron lennon reportedly fled to the toilet in tears and told police that the # 55,000-a-week winger left her with a bruise below her eye .   the 18-year-old was reportedly interviewed by officers under caution over the alleged assault earlier this month .   lennon is on loan to everton .
manhattan-based skin laundry says that after just ten minutes , their light and laser procedure will leave your skin ` glowing '   with long-term use will reduce wrinkles , clear acne , and minimize scarring .   clients must release their personal information to a funeral director and a coroner .   the clinic has even had to extend its hours .
rangers beat raith rovers 4-0 in the edinburgh derby .   stuart mccall had his first defeat as rangers manager against queens last week .   nicky clark and nicky clark both scored in the race .
floyd mayweather has commissioned a mouthguard not only imbedded with his diamond and gold bling but stuffed with $ 100 bills .   his favourite website tmz is $ 25,000 .   manny pacquiao posted a picture of him doing yoga on monday as part of the big fight .
researchers in the u.s. suggests high heels can put dangerous pressure on knee joints , wearing away cartilage - the body 's built-in shock absorber .   some women need invasive knee replacement surgery .   angela kelly , 67 , spent many years wearing high heel shoes .
charity runners taking part in 10km fun run at weekend were left exhausted after being sent on an unscheduled two-mile detour .   instead they continued past the unmanned marshall point and had to run for an extra three kilometres while the other 900 competitors followed the correct route .   the blunder was believed to have been caused by a race marshal taking a toilet break during the event , missing 300 runners who should have been directed .
located in the heart of downtown toronto , the cn tower offers sweeping views of canada 's largest city and lake ontario .   toronto 's cn tower is the third tallest tower in the world .   the square formation of rock is one of norway 's top tourist - with more than 200,000 visitors every year .
paris saint-germain beat psg 3-1 at the nou camp on wednesday night .   lionel messi and neymar scored 3-1 lead in the first half .   luis suarez scored a double at parc des princes for the brazilian .
queens park rangers are in the drop zone of the premier league .   chris ramsey believes three wins from the last five games will stay up .   ramsey believes his side will stay in premier league with three wins .
an arnhem tv station has lost one of its expensive drones .   the incident happened during filming for a reality show set in the zoo .   the drone crashes to the ground - only for the chimp to pounce on it .
zella jackson price , 76 , and melanie diane gilmore , 49 , met in-person at price 's olivette home .   price gave birth at homer g. phillips hospital so many years ago she was told shortly after delivery that the infant had died .   but the baby was still very much alive and had for an unknown reason adopted by another family .
over 120 of those people were admitted to emergency rooms in the same week .   symptoms can range from confusion , drowsiness and headaches to increased heart rate , seizures and loss of consciousness .   the cannabinoid , also commonly called ` k2 ' or ` mojo ' , is predominantly abused by teenagers .
the aid agency has been negotiating for a week to deliver life-saving supplies and equipment to yemen .   the un last week said more than 500 people had been killed in two weeks of fighting in yemen .   on saturday it called for a 24-hour humanitarian pause in the conflict to allow aid to reach people cut off by air strikes .
### NO MATCH FOUND ###
kenneth morgan stancil iii , 20 , made his first appearance at the wayne county courthouse in goldsboro , north carolina after he swore at the judge and claimed he shot dead a man for trying to molest his brother .   he was arrested sleeping on daytona beach on monday morning before fleeing more than 500 miles south .   he is accused of shooting 44-year-old ron lane at wayne community college on tuesday .
tabitha anne bennett allegedly shouted at her daughter to take swings at the older girl in new port richey , florida .   bennett , who is unemployed , was arrested and charged with child abuse , assault and battery offenses .   she is accused of sending a facebook message to the girl on april 12 .
manny pacquiao took to instagram to thank american film director spike lee and tito mikey for their support .   pacquiao 's trainer freddie roach believes his man is ready to beat mayweather in las vegas on may 2 .   the 36-year-old also posted a photo with karl malone at his wild card gym base in los angeles .
luis suarez scored his second goal for barcelona in the champions league quarter final .   the barcelona forward scored a brace in his last 11 games .   suarez says he nutmegged paris saint-germain defender david luiz twice .
alfred guy vuozzo , 46 , swore loudly as he was told he would not be eligible for parole for 35 years .   vuozzo was two years old when his older sister , cathy , was killed in a crash in 1970 .   brent 's father , herbert , received a nine-month sentence for dangerous driving .
the ndrf was set up in the wake of the second world war , and at its peak in the 1950s , the fleet consisted of nearly 2,280 ships moored across the united states .   but as the need for the fleet , just over 120 ships remain , so has the number of vessels .   the ships are the ` ghost ' national defense reserve fleet , set to protect and serve in the hour of need .
nigel farage called for the number of arrivals into britain to be limited at 50,000 a year .   but he claims that overall caps on net migration ` might change every year '   ukip 's manifesto chief said he would not set ` arbitrary targets ' in march .   but ukip leader said it would be ` ludicrous ' to stop people leaving country .
david king , a 70-year-old pensioner from newham , east london , retired to normandy 15 years ago .   his body was found by sniffer dogs last week in pierres and an unnamed 28-year-old frenchman has been charged with his murder .   detectives are investigating the alleged killer was living rough .
the 1954 bentley r-type continental fastback was estimated to sell for # 739,212 - a record for the auction house .   originally commissioned by welsh racing driver r d weatherall and painted in his racing colour of purple - the license plate still bears his initials .   the rare bentley needs a full restoration after it was allowed to gather dust in a barn over 15 years .
the plane , carrying 59 passengers and eight crew members , tilted to one side and its left engine scraped along the runway in khajuraho .   the crew ordered an evacuation after the boeing 737-800 came to a stop , and passengers slid down the plane 's inflatable slides to safety .   passengers spotted smoke outside the plane when the left wing landing gear collapsed .
stephanie scott , 26 , was due marry her partner of five years , aaron leeson-woolley , in front of 120 guests in new south wales this saturday .   but the english and drama teacher vanished on sunday .   now police have charged a man with her murder despite not having found her body just a week before her big day .
justine miliband , 44 , fell in love with her husband ed after she got bitten by a dog .   but the labour leader failed to tell her that he was in a relationship when they first met at a party in the north west .   mrs miliband said she was ` good looking ' and ` unattached '   mrs miliband was secretly going out with their ` mutual friend '   but the doberman incident happened in doncaster .
arsene wenger has said he hopes burnley escape relegation from the premier league .   arsenal were made to fight for their eighth win in a row at turf moor .   sean dyche 's side are two points from hull city and aston villa .
men form a small part of jaysh al-islam or army of islam - who reportedly command as many as 25,000 loyal fighters following the merger of up to 60 rebel factions inside syria .   dozens of masked special units show off a range of armoured tanks and special forces soldiers .   group claims is the ` largest military parade witnessed ' since the dawn of the syrian revolution in 2011 .
the world 's largest cattle station is for sale in anna creek south australia and it 's bigger than israel .   it covers a huge 23,000 square kilometres and includes original stock and equipment .   all of the farms include the 11 properties currently have 155,000 branded cattle with 30,000 more calves on the way .
jurgen klopp is to step down as borussia dortmund manager this summer .   german will seek a new challenge with a move to the premier league likely .   klopp will officially cease to be dortmund manager on june 30 .
green party has set it to music , with new election advert featuring david cameron , nick clegg , ed miliband and nigel farage .   designed to show that tories , lib dems , labour and ukip are all singing the same tune on cuts , public services and immigration .   video shows ` david cameron ' playing a white grand piano .
fossils from an extinct pygmy sperm whale have shed new light on the evolution of modern day whales .   the remains were discovered in panama , indicate that the organ involved in sound generation and echolocation got smaller throughout the whale 's evolution .   there is limited evidence of sperm whales and smaller pygmy and dwarf whales .
many children are not ready to sit down and do reading , writing and maths when they start school at the age of four or five .   at its annual conference in harrogate , it will say schools should follow the lead of countries like finland and introduce 45-minute lessons immediately followed by 15-minute play times .   teachers want children to have more play time to encourage greater communication and social skills .
kim callaghan piled on the pounds after the birth of her two children .   her weight loss saw her drop an incredible ten sizes to slim down to a slinky size eight .   kim married her husband sean callaghan in 1999 .
` bone flute ' found in slovenia is not an instrument - he says it is simply a bone chewed by a hyena with teeth marks .   the bone was discovered on 18 july 1995 in slovenia .   neanderthals may have been made into symbolic jewellery 80,000 years before modern humans arrived in europe .
wba super-middleweight champion carl froch took part in a poker tournament in lenton .   froch had hoped to take on the mexican this month in las vegas but a shoulder injury forced the nottingham world champion to pull out .   chavez faces andrzej fonfara at a catchweight of 172lb on saturday night but has said he is open to facing the brit later this year .
the elite round group 4 qualifier will be restarted at seaview stadium in belfast on thursday .   england are awarded a penalty during their european u19 women 's championships qualifier in belfast .   leah williamson and leah williamson are second in the group .
real madrid beat atletico madrid 1-0 in the champions league on wednesday .   javier hernandez scored the winning goal for madrid in the 88th minute .   real defender raphael varane filmed the footage of the supporters .
